Gulliver's Travels [2010];[Adventure]
Tremors 4: The Legend Begins [2004];[Comedy]/[Comedy Horror]/
Tremors II: Aftershocks [1996];[Comedy]/[Comedy Horror]/
Trick 'r Treat [2008];[Comedy]/[Comedy Horror]/
Tucker & Dale vs. Evil [2010];[Comedy]/[Comedy Horror]/
Undead [2003];[Comedy]/[Comedy Horror]/
Vamp [1986];[Comedy]/[Comedy Horror]/
Vampire in Brooklyn [1995];[Comedy]/[Comedy Horror]/
Warm Bodies [2013];[Comedy]/[Comedy Horror]/
Waxwork [1988];[Comedy]/[Comedy Horror]/
Where Got Ghost? [2009];[Comedy]/[Comedy Horror]/
Woodchipper Massacre [1988];[Comedy]/[Comedy Horror]/
Xia dao xiao [2009];[Comedy]/[Comedy Horror]/
Yakuza Horror Theater [2003];[Comedy]/[Comedy Horror]/
Zombie Cheerleader Camp [2007];[Comedy]/[Comedy Horror]/
Zombie Cheerleading Camp [2007];[Comedy]/[Comedy Horror]/
Zombie Strippers! [2008];[Comedy]/[Comedy Horror]/
Zombieland [2009];[Comedy]/[Comedy Horror]/
Zombies on Broadway [1945];[Comedy]/[Comedy Horror]/
12 Monkeys [1995];[Comedy]/[Dark Comedies]/
A Clockwork Orange [1971];[Comedy]/[Dark Comedies]/
A Scanner Darkly [2006];[Comedy]/[Dark Comedies]/
A Serious Man [2009];[Comedy]/[Dark Comedies]/
A Shock to the System [1990];[Comedy]/[Dark Comedies]/
Adaptation. [2002];[Comedy]/[Dark Comedies]/
American Beauty [1999];[Comedy]/[Dark Comedies]/
American Psycho [2000];[Comedy]/[Dark Comedies]/
Art School Confidential [2006];[Comedy]/[Dark Comedies]/
Bad Santa [2003];[Comedy]/[Dark Comedies]/
Barking Dogs Never Bite [2000];[Comedy]/[Dark Comedies]/
Barton Fink [1991];[Comedy]/[Dark Comedies]/
Being John Malkovich [1999];[Comedy]/[Dark Comedies]/
Bottle Rocket [1996];[Comedy]/[Dark Comedies]/
